sao	const	StarName	Mag	BV	MK	RA	DE	Distance	DblSep	DblPeriod	DblPA	VarName	VarType	PmRa	PmDec	ProperName	HIP	IAU	HD	DM	HR	WDS	PPM	SKY2K
37410	And		6.620	.687	G5/6III/IV	1h39'36.0179''	+45º52'39.975''	71.33						.02076	-.2290		7734	J013936.01+455239.9	10086	BD+45  404 			44283	1390100
37415	And		6.857	.926		1h39'58.1460''	+41º40'0.247''	579.71						.00386	-.0024		7767	J013958.14+414000.2	10132	BD+40  344 			44289	1390147
37416	And		6.682	1.027		1h40'4.3202''	+40º41'1.545''	466.20						-.00641	-.0244		7775	J014004.32+404101.5	10155	BD+39  376 			44292	1400012
37434	And		4.960	.618	G1.5V	1h41'47.1430''	+42º36'48.128''	42.15	.500		35			.07169	-.1802		7918	J014147.14+423648.1	10307	BD+41  328 	483	01318+4237	44319	1410118
54948	And		7.309	.173		1h44'38.6855''	+36º56'18.033''	457.25						.00084	-.0329		8138	J014438.68+365618.0	10649	BD+36  306 			66581	1440092
54991	And		5.940	.969	K0III	1h48'38.9246''	+37º57'10.332''	315.36						.00946	-.0270		8423	J014838.92+375710.3	10975	BD+37  372 	521		66630	1480088
55016	And		7.580	.387		1h50'29.8472''	+38º18'11.108''	234.74						.00558	-.0915		8567	J015029.84+381811.1	11152	BD+37  382 			66665	1500074
37604	And		7.043	1.509		1h54'37.8893''	+40º39'21.453''	1297.02						-.00049	-.0107		8902	J015437.88+403921.4	11579	BD+39  431 			44560	1540083
37652	And		6.880	.484		1h57'55.4772''	+40º45'38.174''	147.17						.01090	-.0869		9151	J015755.47+404538.1	11907	BD+40  408 			400029	1570143
37658	And		7.580	.645		1h58'4.5785''	+41º23'9.760''	104.23	27.700		82			-.00356	.0257		9172	J015804.57+412309.7	11926	BD+40  411 		01581+4123	44625	1580015
37734	And	57gam1And	2.170	1.400	K3-IIb	2h3'53.9531''	+42º19'47.009''	362.71	9.600		63			.00389	-.0509	ALMAAK	9640	J020353.95+421947.0	12533	BD+41  395 	603	02039+4220	44721	2030134
37763	And		6.860	.296		2h6'1.7275''	+41º31'58.316''	449.84						.00055	-.0168		9800	J020601.72+413158.3	12751	BD+40  434 			44755	2060004
37765	And		7.430	.567		2h6'10.4185''	+46º51'35.618''	238.10						.00149	-.0420		9805	J020610.41+465135.6	12741	BD+46  511 			44756	2060018
55289	And	58    And	4.790	.124	A5IV-V	2h8'29.2598''	+37º51'32.678''	202.27						.01302	-.0436		9977	J020829.25+375132.6	13041	BD+37  486 	620		66995	2080065
37868	And		7.340	.706		2h13'13.3356''	+40º30'27.318''	85.25						.00510	-.0959		10339	J021313.33+403027.3	13531	BD+39  498 			44883	2130017
23047	And		5.310	.926	G8IIICN1CH0.5Fe-1	2h13'36.3422''	+51º3'56.946''	203.38	.000		47			.03686	-.1708		10366	J021336.34+510356.9	13530	BD+50  481 	645	02136+5104	27263	2130062
37913	And		8.010	.976		2h16'32.4135''	+48º52'42.020''	706.21						.00209	-.0138		10606	J021632.41+485242.0	13868	BD+48  642 			44941	2160089
37940	And		7.240	.430		2h18'36.2556''	+40º16'43.643''	377.50	11.000		293			-.00183	-.0077		10772	J021836.25+401643.6	14189	BD+39  517s		02186+4017	44977	2180094
37971	And		7.009	.226		2h21'35.6612''	+44º35'59.898''	462.96	2.300		195			-.00159	-.0085		10985	J022135.66+443559.8	14477	BD+43  474 		02216+4436	45017	2210081
55483	And					2h21'44.2301''	+39º22'40.076''	2666.67	2.300		265			.00248	-.0222		10999	J022144.23+392240.0	14511	BD+38  465 		02217+3923	67249	2210184
37987	And		7.460	-.200		2h22'54.2930''	+41º28'47.728''	3030.30	295.500		7			.00004	-.0067		11099	J022254.29+412847.7	14633	BD+40  501 			45038	2220151
38002	And		6.686	1.573		2h24'2.7541''	+42º6'8.261''	1360.54						-.00014	-.0023		11185	J022402.75+420608.2	14771	BD+41  453 			45055	2240006
55605	And		6.780	1.072		2h29'55.8059''	+39º8'13.456''	676.13						-.00115	-.0166		11623	J022955.80+390813.4	15420	BD+38  491 			67397	2290122
55630	And		7.024	1.194		2h31'50.1785''	+38º7'18.656''	735.84	19.900		330			.00242	-.0242		11765	J023150.17+380718.6	15625	BD+37  572 		02318+3807	67428	2310104
38099	And		6.848	.022		2h32'22.3053''	+40º16'20.853''	672.04						-.00055	-.0180		11812	J023222.30+401620.8	15683	BD+39  560 			45177	2320061
55680	And		6.350	-.084	B9pHgMn	2h35'27.9002''	+39º39'51.770''	593.12	16.300		83			.00141	-.0334		12057	J023527.90+393951.7	16004	BD+39  573 	746	02355+3940	67498	2350064
72894	And		7.033	1.272		22h58'26.9203''	+35º16'56.765''	449.24						-.00193	-.0782		113436	J225826.92+351656.7	217183	BD+34 4807 			88396	22580061
35022	And		6.300	1.413		22h59'10.3411''	+52º39'16.307''	687.29						-.00287	.0316		113501	J225910.34+523916.3	217314	BD+51 3514 	8744		41342	22590028
72929	And		6.570	-.119	B3Vpe	23h0'54.7488''	+38º42'28.238''	910.75						-.00007	-.0078		113640	J230054.74+384228.2	217543	BD+37 4744 	8758		88433	23000159
52609	And	1omi And	3.640	-.085	B6IIIpe+A2p	23h1'55.2647''	+42º19'33.505''	707.71	.200		340			.00203	.0002		113726	J230155.26+421933.5	217675	BD+41 4664 	8762	23019+4220	63726	23010163
52623	And	2    And	5.090	.087	A3Vn	23h2'36.3812''	+42º45'28.061''	357.27						.00506	-.0048		113788	J230236.38+424528.0	217782	BD+41 4665 	8766	23026+4245	63742	23020110
52649	And	3    And	4.650	1.057	K0IIIb	23h4'10.9832''	+50º3'7.526''	183.15						.01731	.1673		113919	J230410.98+500307.5	218031	BD+49 4028 	8780		41448	23040037
52651	And		7.770	-.036		23h4'24.9424''	+41º16'27.894''	923.36						.00153	-.0005		113938	J230424.94+411627.8	218042	BD+40 4982 			63771	23040078
52701	And		7.050	.278	B3eShell	23h7'6.2127''	+50º11'32.489''	1488.10						.00023	-.0011		114154	J230706.21+501132.4	218393	BD+49 4045 			41495	23070019
35151	And		6.130	1.057	K0III	23h7'10.0548''	+52º48'59.763''	432.90						.00026	.0129		114162	J230710.05+524859.7	218416	BD+52 3371 	8801		41497	23070027
52753	And		7.920	.900		23h9'57.3620''	+47º57'30.144''	84.26	15.600					.01464	.0124		114379	J230957.36+475730.1	218738	BD+47 4058 		23100+4758	63886	23090144
52761	And	6    And	5.910	.450	F5IV	23h10'27.2009''	+43º32'39.235''	94.19						-.01860	-.2077		114430	J231027.20+433239.2	218804	BD+42 4592 	8825		63896	23100065
35227	And		7.408	.293		23h12'20.5471''	+52º13'46.404''	598.44						-.00208	-.0218		114559	J231220.54+521346.4	219049	BD+51 3558 			41587	23120047
73086	And		6.932	1.026		23h12'25.0144''	+36º58'4.045''	628.93						.00382	.0035		114565	J231225.01+365804.0	219028	BD+36 5021 			400310	23120057
52912	And		6.290	1.117	K1III	23h19'41.5557''	+48º22'51.367''	485.91	85.800		300			.02070	.0311		115171	J231941.55+482251.3	219962	BD+47 4114 	8875	23197+4823	64080	23190105
52927	And		6.250	.150	A5Vn	23h20'44.0984''	+44º6'58.202''	266.67	13.200		178			-.00089	-.0368		115261	J232044.09+440658.2	220105	BD+43 4440 	8884	23207+4407	64102	23200116
73196	And		7.350	1.100		23h21'17.3961''	+38º34'56.156''	918.27						-.00045	-.0115		115313	J232117.39+383456.1	220148	BD+37 4820 			88753	23210036
52963	And		8.580	.950		23h23'28.8408''	+45º47'35.698''	103.97	25.900		132			.01857	-.0047		115470	J232328.84+454735.6	220445	BD+44 4399 		23235+4548	64148	23230072
73229	And		7.510	1.036		23h24'14.7099''	+35º19'50.758''	1355.01						.00113	-.0117		115539	J232414.70+351950.7	220537	BD+34 4916 			88789	23240031
73245	And		7.680	-.040		23h25'20.5473''	+36º9'51.961''	1262.63						.00037	-.0012		115621	J232520.54+360951.9	220668	BD+35 5025 			88805	23250045
35407	And		6.805	1.679		23h25'36.1011''	+52º58'46.084''	1915.71						-.00076	-.0130		115643	J232536.10+525846.0	220719	BD+52 3440 			41791	23250080
53025	And		7.380	.640		23h26'40.3586''	+45º20'17.319''	116.84	57.200		354			.04160	.1106		115715	J232640.35+452017.3	220821	BD+44 4419 		23266+4520	400313	23260072
53072	And		7.690	-.093		23h29'17.0414''	+42º21'36.342''	1333.33						.00036	-.0005		115931	J232917.04+422136.3	221160	BD+41 4796 			64292	23290054
53088	And		6.170	1.463	K3III	23h30'7.4142''	+49º7'59.321''	874.89						.00300	.0030		115996	J233007.41+490759.3	221246	BD+48 4070 	8925		64311	23300018
53118	And		6.788	1.498		23h31'50.2674''	+44º4'22.349''	1145.48						-.00197	.0196		116127	J233150.26+440422.3	221422	BD+43 4481 			64351	23310117
53123	And		7.240	1.600		23h32'0.2146''	+45º53'20.037''	1203.37						.00006	-.0215		116151	J233200.21+455320.0	221459	BD+45 4252 			64356	23320001
53124	And		8.540	.193		23h32'1.3117''	+43º49'20.494''	986.19	4.900		307			-.00101	-.0061		116153	J233201.31+434920.4	221460	BD+43 4482 		23320+4349	64357	23320003
53149	And		6.826	1.163		23h33'49.2294''	+46º40'51.575''	480.31						.00121	-.0433		116297	J233349.22+464051.5	221672	BD+45 4262 			64389	23330120
53151	And		6.924	-.003		23h33'58.2123''	+43º54'15.251''	816.99						.00304	.0095		116312	J233358.21+435415.2	221681	BD+43 4489 			64391	23330148
73351	And		6.180	1.591	K7III	23h34'46.7424''	+38º1'26.399''	693.00	20.200		333			.00090	.0111		116365	J233446.74+380126.3	221776	BD+37 4866 	8950	23348+3801	88941	23340102
73383	And		7.170	.970		23h37'28.1158''	+35º48'53.420''	326.80						.00595	-.0319		116579	J233728.11+354853.4	222089	BD+35 5066 			88977	23370089
53204	And	16lam And	3.870	.981	G8III-IV	23h37'33.8425''	+46º27'29.347''	86.04	47.500		199	lam_And	RS	.01541	-.4215		116584	J233733.84+462729.3	222107	BD+45 4283 	8961	23376+4627	64456	23370103
53210	And		6.600	.648		23h37'58.4882''	+46º11'57.972''	77.05						.03442	-.0111		116613	J233758.48+461157.9	222143	BD+45 4288 	8964		64466	23370167
53213	And		6.982	1.164		23h38'3.5877''	+43º4'40.285''	1126.13						-.00337	-.0079		116626	J233803.58+430440.2	222174	BD+42 4719 			64469	23380017
53216	And	17iot And	4.290	-.086	B8V	23h38'8.2013''	+43º16'5.063''	513.61						.00254	-.0012		116631	J233808.20+431605.0	222173	BD+42 4720 	8965		64473	23380025
53264	And	19kap And	4.150	-.065	B9IVn	23h40'24.5081''	+44º20'2.154''	173.43	46.800		194			.00758	-.0190		116805	J234024.50+442002.1	222439	BD+43 4522 	8976	23404+4420	64525	23400060
53291	And		6.989	.258		23h42'14.2888''	+44º45'19.498''	269.03						.00477	-.0256		116940	J234214.28+444519.4	222642	BD+43 4530 			64563	23420035
53337	And		6.939	.067		23h44'45.4426''	+43º44'46.553''	508.13						.00507	.0108		117129	J234445.44+434446.5	222922	BD+42 4747 			64614	23440103
53374	And		6.100	-.137	B3IV	23h47'33.0496''	+46º49'57.232''	1349.53	.900		244			.00012	-.0050		117340	J234733.04+464957.2	223229	BD+46 4169 	9011	23476+4650	64658	23470085
73523	And		6.970	.785		23h48'35.3841''	+36º16'28.286''	718.39	.200		5			-.00056	-.0087		117426	J234835.38+361628.2	223331	BD+35 5107 		23486+3616	89145	23480086
73556	And		6.780	.410	F5V	23h51'18.6880''	+40º11'54.613''	185.49						.01767	-.0738		117622	J235118.68+401154.6	223636	BD+39 5174 			64725	23510037
53430	And		6.800	1.050		23h51'50.8535''	+42º54'35.363''	884.17						-.00114	-.0069		117672	J235150.85+425435.3	223705	BD+42 4780 			64735	23510122
73565	And		7.590	.423	F5s	23h51'52.4004''	+37º53'28.426''	206.14	6.100		84			-.00604	-.0744		117673	J235152.40+375328.4	223718	BD+37 4898 		23519+3753	400320	23510126
53486	And		6.000	1.169	G8Ib	23h55'33.4755''	+47º21'20.893''	1650.17						-.00107	-.0074		117956	J235533.47+472120.8	224165	BD+46 4214 	9053		64804	23550082
53540	And		6.550	-.096	B4Ven	23h58'46.4395''	+46º24'47.446''	1388.89				LQ_And	GCAS	.00150	.0009		118214	J235846.43+462447.4	224559	BD+45 4381 	9070		64869	23580116
