PubID;Name;Company Name;Address;City;State;Zip;Telephone;Fax;Comments
57;HAYDEN;HAYDEN BOOKS;11711 N. College Ave., Ste 140;Carmel;IN;46032;317-573-2500;;
58;BRADFORD;BRADFORD BOOKS;;;;;;;
59;RAND;RAND CORP;;;;;;;
60;GOODHEART-WILLCOX;GOODHEART-WILLCOX CO;;;;;;;
61;SIGS;SIGS PUBNS;;;;;;;
62;IEEE COMPUTER SOCIETY;IEEE COMPUTER SOCIETY;10662 Los Vaqueros Circle;Los Alamitos;CA;90720;800-272-6657;714-821-4010;PROFESSIONAL BOOKS ASSOCIATION PRESSES 
63;MCGRAW HILL;MCGRAW HILL;;;;;;;
64;Sigs;Sigs Books;;;;;;;
65;Prentice Hall;Prentice Hall Ptr;15 Columbus Cir.;New York;NY;10023;800-922-0579;;
66;Elsevier;Elsevier;;;;;;;
67;Wordware;Wordware Publishing;1506 Capital Ave., Suite 101;Plano;TX;75074;;;
68;TAB BOOKS;TAB BOOKS;P.O. Box 40;Blue Ridge Summit;PA;17294-0850;800-822-8138;717-794-2080;
69;JAI;JAI PR;;;;;;;
70;CHARLES RIVER MEDIA;CHARLES RIVER MEDIA;;;;;;;
71;VAN NOSTRAND REINHOLD;VAN NOSTRAND REINHOLD;;;;;;;
72;R & D;R & D PUBNS;;;;;;;
73;EUROPEAN COMMUNITIES;EUROPEAN COMMUNITIES;;;;;;;
74;VENTANA;VENTANA PR;P.O. Box 2468;Chapel Hill;NC;27515;;;
75;ASSN FOR CHILDHOOD EDUCATION INTL;ASSN FOR CHILDHOOD EDUCATION INTL;;;;;;;
76;KOMENDA;KOMENDA PUB CO;;;;;;;
77;Springer;Springer;;;;;;;
78;JONES & BARTLETT;JONES & BARTLETT PUB;;;;;;;
79;OSBORNE MCGRAW-HILL;OSBORNE MCGRAW-HILL;1221 Ave of the Americas;New York;NY;10020;800-822-8138;;
80;METAMORPHOUS;METAMORPHOUS PR;;;;;;;
81;Springer-Verlag;Springer-Verlag;;;;;;;
82;CLARENDON;CLARENDON PR;;;;;;;
83;FRANKLIN BEEDLE & ASSOC;FRANKLIN BEEDLE & ASSOC;;;;;;;
84;PWS;PWS PUB CO;;;;;;;
85;Ncc Blackwell;Ncc Blackwell;3 Cambridge Ctr., Suite 208;Cambridge;MA ;02142;617-225-0401;;
86;SCIENCE;SCIENCE PR;;;;;;;
87;I B D;I B D LTD;;;;;;;
88;RANDOM HOUSE;RANDOM HOUSE ELECTRONIC PUB;;;;;;;
89;SYBEX;SYBEX;2021 Challenger Dr;Alameda;CA;94501;800-227-2346;415-523-2373;
90;BUTTERWORTH-HEINEMANN;BUTTERWORTH-HEINEMANN;;;;;;;
91;PUB GROUP WEST;PUB GROUP WEST (COMPUTER BKS);P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
92;UCL PR LTD;UCL PR LTD;;;;;;;
93;CBM;CBM BOOKS;;;;;;;
94;MANNING;MANNING PUBNS CO;;;;;;;
95;JAMSA;JAMSA PR;;;;;;;
96;INSPEC/IEE;INSPEC/IEE;;;;;;;
97;ABACUS;ABACUS SOFTWARE;;;;;;;
98;WESTVIEW;WESTVIEW PR;P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
99;ACADEMIC;ACADEMIC PR;;;;;;;
100;RICHARD D IRWIN;RICHARD D IRWIN;4 Gentry St.;Baldwinsville;NY;13027;315-638-0175;;
101;DORSET HOUSE;DORSET HOUSE;;;;;;;
102;ABLEX;ABLEX PUB CORP;;;;;;;
103;PAUL H BROOKES;PAUL H BROOKES PUB CO;;;;;;;
104;CHAPMAN & HALL;CHAPMAN & HALL;29 W. 35th St.;New York;NY;10001-2291;212-244-3336;;
105;DELMAR;DELMAR PUB;;;;;;;
106;Athena Sci;Athena Sci;;;;;;;
107;MORGAN KAUFMANN;MORGAN KAUFMANN PUB;2929 Campus Dr, Suite 260;San Mateo;CA;94403;415-578-9911;415-578-0672 ;
108;UNIVERSAL;UNIVERSAL PUB CO;;;;;;;
109;ARTECH;ARTECH HOUSE;;;;;;;
110;W H FREEMAN;W H FREEMAN & CO;;;;;;;
111;WORDWARE;WORDWARE;1506 Capital Ave., Suite 101;Plano;TX;75074;;;
112;WALTER DE GRUYTER;WALTER DE GRUYTER;;;;;;;
113;VENTURE;VENTURE PUB;;;;;;;
114;AMER LIBRARY ASSN EDITIONS;AMER LIBRARY ASSN EDITIONS;;;;;;;
115;PRIMA PUB;PRIMA PUB;P.O. Box 1260;Rocklin;CA;95677-1260;;;
116;AA BALKEMA;AA BALKEMA;;;;;;;
117;Prentice Hall;Prentice Hall International;Rte. 9W;Englewood Cliffs;NJ;07632;201-592-2000;;
118;PEACHPIT;PEACHPIT PR;;;;;;;
119;DELLEN;DELLEN PUB CO;;;;;;;
120;VAN NOSTRAND REINHOLD;VAN NOSTRAND REINHOLD (SHORT DISC);;;;;;;
121;MITCHELL;MITCHELL PUB;55 Penny Ln., No. 103;Watsonville;CA;95076;408-724-0195;;
122;DIGITAL;DIGITAL PR;;;;;;;
123;KENDALL HUNT;KENDALL HUNT PUB;;;;;;;
124;AKADEMIAI KIADO;AKADEMIAI KIADO;;;;;;;
125;Manning;Manning;;;;;;;
126;ELSEVIER SCIENCE;ELSEVIER SCIENCE;;;;;;;
127;ONWORD;ONWORD PR;;;;;;;
128;BENJAMIN/CUMMINGS;BENJAMIN/CUMMINGS;390 Bridge Pkwy.;Redwood City;CA;94065;800-950-2665;415-594-4409;
129;ALLYN & BACON;ALLYN & BACON;;;;;;;
130;HARPERCOLLINS COLLEGE DIV;HARPERCOLLINS COLLEGE DIV;;;;;;;
131;NORTH-HOLLAND;NORTH-HOLLAND;;;;;;;
132;SAGAMORE;SAGAMORE PUB;;;;;;;
133;HUMAN KINETICS;HUMAN KINETICS PUB;;;;;;;
134;AMER MATHEMATICAL SOCIETY;AMER MATHEMATICAL SOCIETY;;;;;;;
135;RESEARCH STUDIES;RESEARCH STUDIES PR;;;;;;;
136;General Media;General Media Books;;;;;;;
137;DELFT UNIV;DELFT UNIV PR;;;;;;;
138;SOCIETY FOR INDUSTRIAL & APPLIED;SOCIETY FOR INDUSTRIAL & APPLIED;;;;;;;
139;BANTAM ELECTRONIC;BANTAM ELECTRONIC PUB;;;;;;;
140;INTL SOCIETY FOR TECHNOLOGYIN;INTL SOCIETY FOR TECHNOLOGYIN;;;;;;;
141;YOURDON;YOURDON;15 Columbus Cir.;New York;NY;10023;212-373-8500;;
142;WILLIAM MORROW & CO;WILLIAM MORROW & CO;;;;;;;
143;MIS;MIS PR;P.O. Box 5277;Portland;OR;97208-5277;503-282-5819;;
144;HARPERCOLLINS (PAPER);HARPERCOLLINS (PAPER);;;;;;;
145;MECKLERMEDIA;MECKLERMEDIA;;;;;;;
146;APOLLO COMPUTER SYSTEM;APOLLO COMPUTER SYSTEM;;;;;;;
147;HARPERCOLLINS;HARPERCOLLINS;;;;;;;
148;BIRKHAUSER;BIRKHAUSER;;;;;;;
149;PRINCETON UNIV;PRINCETON UNIV PR;;;;;;;
150;ALLERTON PR;ALLERTON PR;;;;;;;
151;WINDCREST;WINDCREST;P.O. Box 40;Blue Ridge Summit;PA;17294-0850;717-794-2191;;
152;ELEMENT;ELEMENT;;;;;;;
153;PERGAMON;PERGAMON PR;;;;;;;
154;WALNUT CREEK;WALNUT CREEK;;;;;;;
155;SOUTH-WESTERN;SOUTH-WESTERN PUB;P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
156;MACMILLAN;MACMILLAN PUB CO;11 W. 42nd St., 3rd flr.;New York;NY;10036;212-869-7440;;
157;GROUP BOOKS;GROUP BOOKS;;;;;;;
158;COMPUTER TECHNOLOGY RESEARCH;COMPUTER TECHNOLOGY RESEARCH;;;;;;;
159;DICTATION DISC;DICTATION DISC CO;;;;;;;
160;WILEY-INTERSCIENCE;WILEY-INTERSCIENCE;605 Third Ave;New York;NY;10158;212-850-6000;212-850-6088 ; 
ENGINEERING (GENERAL);;;;;;;;;
161;SIMON & SCHUSTER;SIMON & SCHUSTER (AUDIO);;;;;;;
162;WADSWORTH;WADSWORTH SOFTWARE;10 Davis Dr.;Belmont;CA;94002;;;
163;IRWIN PROFESSIONAL;IRWIN PROFESSIONAL PUB;4 Gentry St.;Baldwinsville;NY;13027;315-638-0175;;
164;IOWA STATE UNIV;IOWA STATE UNIV PR;State University Plaza;Albany;NY;12246-0001;;;
165;IEEE Computer Society Press;IEEE Computer Society Press;10662 Los Vaqueros Circle;Los Alamitos;CA;90720;800-272-6657;714-821-4010;
166;MANGAEMENT INFO SERVICE;MANGAEMENT INFO SERVICE;;;;;;;
167;LAWRENCEVILLE;LAWRENCEVILLE PR;;;;;;;
168;HARPERPERENNIAL LIBRARY;HARPERPERENNIAL LIBRARY;;;;;;;
169;BROWN & BENCHMARK;BROWN & BENCHMARK PUB;;;;;;;
170;INTERPHARM;INTERPHARM PR;;;;;;;
171;DUXBURY;DUXBURY PR;;;;;;;
172;SOFTWARE MASTERS;SOFTWARE MASTERS;;;;;;;
173;NORTH AMER;NORTH AMER PUB CO;;;;;;;
174;BRADY;BRADY;;;;;;;
175;GLENCOE;GLENCOE/MACMILLAN MCGRAW HILL;15319 Chatsworth St.;Mission Hills;CA;91345;818-898-1391;;
176;HOLT RINEHART & WINSTON;HOLT RINEHART & WINSTON;;;;;;;
177;INTEL;INTEL BOOKS;;;;;;;
178;SAGE;SAGE PUBNS;;;;;;;
179;PRENTICE HALL;PRENTICE HALL COMPUTER PUB;15 Columbus Cir.;New York;NY;10023;800-922-0579;;
180;DELTA;DELTA;;;;;;;
181;RR BOWKER;RR BOWKER;;;;;;;
182;MICRO FOCUS;MICRO FOCUS PUB;;;;;;;
183;MERRIL;MERRIL PR;;;;;;;
184;FOCAL;FOCAL PR;;;;;;;
185;REAL PEOPLE;REAL PEOPLE PR;;;;;;;
186;ASSN FOR COMPUTING MACHINERY;ASSN FOR COMPUTING MACHINERY;;;;;;;
187;PETER LANG;PETER LANG PUB;;;;;;;
188;MACMILLAN COLL DIV;MACMILLAN COLL DIV;11 W. 42nd St., 3rd flr.;New York;NY;10036;212-869-7440;;
189;ALLEYSIDE PR (UPSTL);ALLEYSIDE PR (UPSTL);;;;;;;
190;PITMAN;PITMAN PUB LTD;;;;;;;
191;South-Western Educational;South-Western Educational Pub;P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
192;ALPHA BOOKS;ALPHA BOOKS;;;;;;;
193;SCOTT/JONES;SCOTT/JONES;;;;;;;
194;COMPUTER CONFIDENCE;COMPUTER CONFIDENCE INC;;;;;;;
195;WATSON-GUPTILL;WATSON-GUPTILL PUBNS;;;;;;;
196;NEW RIDERS;NEW RIDERS PUB;P.O. Box 90, 11711 N. College Ave.;Carmel;IN;46032;;;
197;FAWCETT;FAWCETT TECHNICAL PUB;;;;;;;
198;E T N;E T N CORP;;;;;;;
199;SIGMA;SIGMA PR;;;;;;;
200;AMER ACADEMY OF OPHTHALMOLOGY;AMER ACADEMY OF OPHTHALMOLOGY;;;;;;;
201;BANTAM DOUBLEDAY DELL;BANTAM DOUBLEDAY DELL PUB;;;;;;;
202;VAN NOSTRAND REINHOLD;VAN NOSTRAND REINHOLD (TRADE);;;;;;;
203;NORTH LIGHT;NORTH LIGHT BOOKS;;;;;;;
204;WILLIAM C BROWN;WILLIAM C BROWN PUB;;;;;;;
205;LEA & FEBIGER;LEA & FEBIGER;;;;;;;
206;LAWRENCE ERLBAUM;LAWRENCE ERLBAUM ASSOC;;;;;;;
207;SCARECROW;SCARECROW PR;;;;;;;
208;S KARGER;S KARGER PUB;;;;;;;
209;SIMON & SCHUSTER;SIMON & SCHUSTER;;;;;;;
210;AMER PRODUCTION & INVENTORY;AMER PRODUCTION & INVENTORY;;;;;;;
211;UNIV OF WASHINGTON;UNIV OF WASHINGTON PR;;;;;;;
212;HEINEMANN;HEINEMANN;;;;;;;
213;STERLING SWIFT;STERLING SWIFT PUB CO;;;;;;;
214;ABC-CLIO;ABC-CLIO;;;;;;;
215;CHARLES C THOMAS;CHARLES C THOMAS PUB;;;;;;;
216;MOONBEAM PUBLICATIONS;MOONBEAM PUBLICATIONS, INC.;;;;;;;
217;PENGUIN;PENGUIN USA (PAPER);;;;;;;
218;st Martins Press;st Martins Press;;;;;;;
219;SPECIAL LIBRARIE;SPECIAL LIBRARIES ASSN;;;;;;;
220;K G SAUR;K G SAUR;;;;;;;
221;NTC;NTC PUB GROUP;;;;;;;
222;PINNACLE;PINNACLE PUB;;;;;;;
223;PRENTICE HALL;PRENTICE HALL TRADE;15 Columbus Cir.;New York;NY;10023;800-922-0579;;
224;GALLOPADE PUB GROUP;GALLOPADE PUB GROUP;;;;;;;
225;SINAUER ASSOC;SINAUER ASSOC;;;;;;;
226;PROBUS PUB CO;PROBUS PUB CO;;;;;;;
227;INFORMATION TODAY;INFORMATION TODAY INC;;;;;;;
228;TRANS-ATLANTIC;TRANS-ATLANTIC PUBNS;;;;;;;
229;Ablex Pub;Ablex Pub;;;;;;;
230;THOMSON EXECUTIVE;THOMSON EXECUTIVE PR (SHORT DISC);;;;;;;
231;COMPUTATIONAL MECHANICS;COMPUTATIONAL MECHANICS;;;;;;;
232;ORYX;ORYX PR;;;;;;;
233;PTR PRENTICE HALL;PTR PRENTICE HALL;15 Columbus Cir.;New York;NY;10023;800-922-0579;;
234;C A B INTL;C A B INTL;;;;;;;
235;CRC;CRC PR;;;;;;;
236;GALE RESEARCH;GALE RESEARCH;835 Penobscot Bldg;Detroit;MI;48226-4094;313-961-2242;313-961-6083;
237;ILLINOIS STATE MUSEUM;ILLINOIS STATE MUSEUM;State University Plaza;Albany;NY;12246-0001;;;
238;PERIGEE;PERIGEE;;;;;;;
239;ORGANISATION FOR ECONOMIC;ORGANISATION FOR ECONOMIC;;;;;;;
240;SILICON;SILICON PR;;;;;;;
241;LEWIS;LEWIS PUB;;;;;;;
242;AARP;AMER ASSN OF RETIRED PERSONS;;;;;;;
243;SOUTH ASIA;SOUTH ASIA BOOKS;;;;;;;
244;ASHGATE;ASHGATE PUB CO;;;;;;;
245;E S I;E S I PUBNS;;;;;;;
246;IEEE;IEEE;10662 Los Vaqueros Circle;Los Alamitos;CA;90720;800-272-6657;714-821-4010;
247;GOVERNMENT INST;GOVERNMENT INST;;;;;;;
248;NATL FEDERATION OF ABSTRACTING;NATL FEDERATION OF ABSTRACTING;;;;;;;
249;BOYD CO;BOYD CO;20 Park Place., Suite 1405;Boston;MA;02116;617-426-2292;;
250;Hurson, A. R.;Hurson, A. R.;;;;;;;
251;ONLINE;ONLINE PR;;;;;;;
252;LIBRARIES UNLIMITED;LIBRARIES UNLIMITED;;;;;;;
253;Rand;Rand;;;;;;;
254;MARKUS WIENER;MARKUS WIENER PUB;;;;;;;
255;EDITIONS;EDITIONS RODOPI;;;;;;;
256;RESTON;RESTON PUB CO;;;;;;;
257;BAKER & TAYLOR PROMOTIONAL;BAKER & TAYLOR PROMOTIONAL;;;;;;;
258;DRYDEN;DRYDEN PR;;;;;;;
259;PARADIGM;PARADIGM PUB INTL;;;;;;;
260;CORONET BOOKS;CORONET BOOKS;;;;;;;
261;ONLINE;ONLINE;;;;;;;
262;G K HALL & CO;G K HALL & CO;;;;;;;
263;NATL APPLE WORKS USERS GROUP;NATL APPLE WORKS USERS GROUP;;;;;;;
264;REGENTS/PRENTICE HALL;REGENTS/PRENTICE HALL;Rte. 9W;Englewood Cliffs;NJ;07632;;;
265;NATL BOOK NETWORK (PROFESSIONAL);NATL BOOK NETWORK (PROFESSIONAL);;;;;;;
266;GIS WORLD;GIS WORLD;;;;;;;
267;MANCHESTER UNIV PR;MANCHESTER UNIV PR;;;;;;;
268;MCGRAW HILL;MCGRAW HILL BOOK CO LTD;;;;;;;
269;AMER SOCIETY FOR TESTING &;AMER SOCIETY FOR TESTING &;;;;;;;
270;COMPUTERIZED PRICING SYSTEMS;COMPUTERIZED PRICING SYSTEMS;;;;;;;
271;BAKER & TAYLOR;BAKER & TAYLOR CO;;;;;;;
272;STATE UNIV OF NEW YORK;STATE UNIV OF NEW YORK PR;State University Plaza;Albany;NY;12246-0001;;;
273;ELLIS HORWOOD;ELLIS HORWOOD LTD;;;;;;;
274;NEW IN CHESS;NEW IN CHESS;P.O. Box 90, 11711 N. College Ave.;Carmel;IN;46032;;;
275;CAS EDUCATION;CAS EDUCATION GROUP;;;;;;;
276;SOCIETY OF PHOTO OPTICAL;SOCIETY OF PHOTO OPTICAL;;;;;;;
277;MICROTREND;MICROTREND;165 Vallecitos de Oros;San Marcos;CA  ;92069-1436;619-744-2299;;
278;COMPUTE;COMPUTE;;;;;;;
279;FOOD & AGRICULTURE;FOOD & AGRICULTURE ORG;;;;;;;
280;AMER MEDICAL ASSN;AMER MEDICAL ASSN;;;;;;;
281;INDEX PUB GROUP;INDEX PUB GROUP;;;;;;;
282;ERIC CLEARINGHOUSE ON READING;ERIC CLEARINGHOUSE ON READING;;;;;;;
283;NATIONAL ASSN OF INSURANCE;NATIONAL ASSN OF INSURANCE;;;;;;;
284;WORLD RESOURCES INST;WORLD RESOURCES INST;;;;;;;
285;ELSEVIER SCIENCE LTD;ELSEVIER SCIENCE LTD;;;;;;;
286;BEGELL HOUSE;BEGELL HOUSE;;;;;;;
287;WILEY LAW;WILEY LAW PUBNS;605 Third Ave;New York;NY;10158;212-850-6000;212-850-6088 ;
288;OCLC;OCLC;;;;;;;
289;ASHTON TATE;ASHTON TATE;;;;;;;
290;MOSBY;MOSBY-YEAR BOOK;;;;;;;
291;D C HEATH;D C HEATH & CO;;;;;;;
292;POLICY STUDIES ASSOC;POLICY STUDIES ASSOC;;;;;;;
293;PLENUM;PLENUM PUB CORP;;;;;;;
294;LEWIS OSBORNE;LEWIS OSBORNE BOOK PUB;2600 Tenth St.;Berkeley;CA;94710;800-227-0900;;
295;PARADIGM;PARADIGM PUB;;;;;;;
296;SUMMER INST OF LINGUISTICS;SUMMER INST OF LINGUISTICS;;;;;;;
297;NATL BUSINESS EDUCATION ASSN;NATL BUSINESS EDUCATION ASSN;1818 Ridge Rd.;Homewood;IL;60430;708-798-6000;;
298;KNOWLEDGE INDUSTRY;KNOWLEDGE INDUSTRY PUBNS;;;;;;;
299;THE MINERALS METALS & MATERIALS;THE MINERALS METALS & MATERIALS;;;;;;;
300;SPORT INFO RESOURCE CENTRE;SPORT INFO RESOURCE CENTRE;;;;;;;
301;FRANKLIN WATTS;FRANKLIN WATTS;;;;;;;
302;HBJ COLLEGE;HBJ COLLEGE & SCHOOL DIV;;;;;;;
303;PAPERBACK SOFTWARE;PAPERBACK SOFTWARE INTL;;;;;;;
304;INST OF INDUSTRIAL ENGINEERS;INST OF INDUSTRIAL ENGINEERS;;;;;;;
305;HEINLE & HEINLE;HEINLE & HEINLE PUB;;;;;;;
306;ERIC CLEARINGHOUSE ON INFORMATION;ERIC CLEARINGHOUSE ON INFORMATION;;;;;;;
307;COMPREHENSIVE INFO SCIENCES;COMPREHENSIVE INFO SCIENCES;;;;;;;
308;DRUG INFORMATION SERVICES;DRUG INFORMATION SERVICES;;;;;;;
309;BROOKFIELD;BROOKFIELD PUB CO;;;;;;;
310;SOYFOODS CENTER;SOYFOODS CENTER;;;;;;;
311;WORLD WILDLIFE FUND;WORLD WILDLIFE FUND;;;;;;;
312;SCHOLIUM INTL;SCHOLIUM INTL;;;;;;;
313;GULF PUB;GULF PUB CO;;;;;;;
314;CATALYST;CATALYST;;;;;;;
315;CULTURAL RESOURCE;CULTURAL RESOURCE;;;;;;;
316;PUB GROUP WEST;PUB GROUP WEST;P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
317;Longwood;Longwood;;;;;;;
318;PETROCELLI;PETROCELLI BOOKS;;;;;;;
319;LIBRARY ASSN;LIBRARY ASSN PUB LTD;;;;;;;
320;SLAWSON COMMUNICATIONS;SLAWSON COMMUNICATIONS;165 Vallecitos de Oro;San Marcos;CA;92069-1436;800-752-9766;619-744-0424 ;
321;MERRILL;MERRILL PUB CO;;;;;;;
322;INFORMATION SOURCES;INFORMATION SOURCES;;;;;;;
323;UNIPUB;UNIPUB;4611-F Assembly Dr.;Lanham;MD;20706-4391;;;
324;GLOBAL ENGINEERING;GLOBAL ENGINEERING;;;;;;;
325;NATL TECHNICAL INFORMATION;NATL TECHNICAL INFORMATION;;;;;;;
326;NATL CENTER FOR CHILDREN;NATL CENTER FOR CHILDREN;;;;;;;
327;MIKE MURACH & ASSOC;MIKE MURACH & ASSOC;;;;;;;
328;ALFRED WALLER;ALFRED WALLER LTD;;;;;;;
329;AMER SOCIETY OF MECHANICAL;AMER SOCIETY OF MECHANICAL;;;;;;;
330;PRACTICE MANAGEMENT INFO CORP_;PRACTICE MANAGEMENT INFO CORP_;;;;;;;
331;MUSIC LIBRARY ASSN;MUSIC LIBRARY ASSN;;;;;;;
332;SAS INST;SAS INST;;;;;;;
333;ARMSTRONG;ARMSTRONG PUB CO;;;;;;;
334;ERIC CLEARINGHOUSE ON RURAL;ERIC CLEARINGHOUSE ON RURAL;;;;;;;
335;AMER PSYCHOLOGICAL ASSN;AMER PSYCHOLOGICAL ASSN;595 Blossom Rd.;Rochester;NY;14610;716-482-7700;;
336;ELSEVIER APPLIED SCIENCE;ELSEVIER APPLIED SCIENCE;;;;;;;
337;BUSINESS ONE IRWIN COMPUTER;BUSINESS ONE IRWIN COMPUTER;4 Gentry St.;Baldwinsville;NY;13027;315-638-0175;;
338;P C INFORMATION GROUP;P C INFORMATION GROUP;;;;;;;
339;DAVID FULTON;DAVID FULTON PUB;;;;;;;
340;AMER DIETETIC;AMER DIETETIC ASSN;;;;;;;
341;GREENWOOD;GREENWOOD PUB GROUP;;;;;;;
342;UNIV OF ILLINOIS GRADUATE;UNIV OF ILLINOIS GRADUATE;;;;;;;
343;MANSELL;MANSELL;;;;;;;
344;BIOSCIENCES INFORMATION;BIOSCIENCES INFORMATION;;;;;;;
345;XYZYX INFORMATION CORP;XYZYX INFORMATION CORP;;;;;;;
346;SCOTT FORESMAN TRADE;SCOTT FORESMAN TRADE;1900 E. Lake Ave.;Glenview;IL;60025;;;
347;FINANCIAL SOURCEBOOKS;FINANCIAL SOURCEBOOKS;;;;;;;
348;SCOTT FORESMAN & CO;SCOTT FORESMAN & CO;1900 E. Lake Ave.;Glenview;IL;60025;;;
349;TEC SPEC;TEC SPEC;;;;;;;
350;INFORMATION ACCESS;INFORMATION ACCESS CORP;;;;;;;
351;RAPID SYSTEMS DEVELOPMENT;RAPID SYSTEMS DEVELOPMENT;211 W. 56th St., Suite 29H;New York;NY;10019-4323;;;
352;SUMERIA;SUMERIA;;;;;;;
353;NOYES;NOYES PUBNS;;;;;;;
354;INFOSOURCES;INFOSOURCES PUB;;;;;;;
355;TRANSACTION;TRANSACTION PUB;;;;;;;
356;INTUSOFT;INTUSOFT;;;;;;;
357;ALLEGRO NEW MEDIA;ALLEGRO NEW MEDIA;P.O. Box 90, 11711 N. College Ave.;Carmel;IN;46032;;;
358;MICROREF;MICROREF EDUC SYSTEMS;;;;;;;
359;SOCIETY FOR MINING METALLURGY;SOCIETY FOR MINING METALLURGY;;;;;;;
